"","f.mean","f.lower","f.upper","val_ts"
"1",2321.61002770377,2200.59940688637,2447.14944054543,2371
"2",2346.10105092645,2235.83261214356,2476.73858152602,2437
"3",2248.63467472729,2139.64114260907,2380.95191561256,2343
"4",2177.75521878673,2056.74508830083,2305.90529219014,2277
"5",2168.07373120516,2057.61266025082,2302.36409595913,2240
"6",2161.12150959234,2053.80044704499,2284.74461169745,2268
"7",2211.22630889439,2102.77306749885,2337.5858477238,2348
"8",2325.7831407193,2210.81748970377,2459.61701864065,2497
"9",2350.64833633294,2244.42064336094,2489.49466654688,2316
"10",2253.42914756394,2145.01212571609,2390.52790636862,2308
"11",2182.50932589881,2069.02430335683,2319.99052676119,2285
"12",2172.65225888621,2069.22259992397,2311.37353056308,2291
"13",2165.36389001269,2059.18868579246,2293.56596102314,2330
"14",2214.94395633929,2108.60473738977,2347.37920962119,2353
"15",2329.10581760039,2214.19439576691,2469.1375083014,2533
"16",2353.8517908061,2252.17677086393,2496.86560269275,2492
"17",2256.47583346011,2149.13605798747,2400.37973686968,2365
"18",2185.20888014132,2077.92238770139,2328.17326305866,2328
"19",2174.96792581623,2075.46871669563,2318.42648343387,2298
"20",2167.22989546955,2063.92157981296,2309.03549540617,2304
"21",2216.26371084319,2106.47431045152,2360.05453139494,2401
"22",2330.0954322584,2213.45999698961,2483.53463258299,2550
"23",2354.86114019651,2250.98660424778,2509.4729399036,2561
"24",2257.52746419127,2151.58074026998,2410.47878364647,2319
"25",2186.15926596231,2076.23014405619,2339.83574794632,2269
"26",2175.81012058652,2067.64712419403,2326.72374183043,2294
"27",2167.90837179456,2060.44718219538,2310.17171282891,2279
"28",2216.67473638405,2108.92639839205,2363.31115709,2409
"29",2330.43078140643,2209.85636283876,2491.22211253774,2686
"30",2355.42884643136,2246.85758451805,2509.82603710524,2579
"31",2258.2932550027,2138.63002892178,2413.3203068982,2501
"32",2186.91022135606,2058.29075638423,2338.36126474743,2602
"33",2176.45928829721,2061.8132161651,2321.64152393412,2382
"34",2168.31244657266,2050.54418672237,2311.46981067957,2354
"35",2216.63688452815,2098.22466490431,2357.38923153023,2511
"36",2330.04916133883,2202.13126929636,2483.31764150933,2742
"37",2354.92152438865,2230.01776260517,2503.30804630333,2713
"38",2257.54081502807,2126.06197736602,2402.409316361,2972
"39",2185.62340252358,2045.86986227157,2325.9806488698,2543
"40",2174.48873511787,2049.98474475894,2314.0769054363,2300
