"","f.mean","f.lower","f.upper","val_ts"
"1",2368.89291322627,2147.92195271016,2562.90074579489,2497
"2",2393.31811665514,2176.62658749233,2591.74349497149,2316
"3",2296.09512096715,2078.80401416011,2494.68364060981,2308
"4",2224.88240887549,2003.89632836516,2420.60839691836,2285
"5",2214.7338659706,2002.47118587068,2414.16158494694,2291
"6",2207.80160300299,1994.11314878525,2416.82070430516,2330
"7",2257.53979632328,2045.12676056088,2463.66317598734,2353
"8",2371.0320331955,2151.38782688039,2577.09101279332,2533
"9",2395.24603015411,2173.95334869778,2607.58936374757,2492
"10",2297.84905640069,2078.82850271652,2509.36642413762,2365
"11",2226.32077568084,2007.32952269167,2436.04255246387,2328
"12",2215.84360233972,2002.62888652652,2423.75646399017,2298
"13",2208.52529202509,1995.86815361797,2422.21859265456,2304
"14",2257.75711583914,2043.1739710058,2483.30420021186,2401
"15",2370.90402553339,2146.64825857726,2586.90139712437,2550
"16",2395.05950880755,2172.98348865906,2616.80459176504,2561
"17",2297.5527718476,2082.36540841323,2516.68349843424,2319
"18",2225.67687657045,2010.94538914935,2443.45345681314,2269
"19",2214.74516379061,2000.4234040514,2434.05118166054,2294
"20",2206.82058016703,1994.70314079949,2431.22695466044,2279
"21",2255.24503227653,2040.4789207544,2477.11486890539,2409
"22",2367.67730806907,2150.2832227266,2585.308838667,2686
"23",2391.3432567247,2171.98251925284,2618.24112236443,2579
"24",2293.25255114435,2075.61627424713,2517.55211357552,2501
"25",2220.52773038569,2005.15417580704,2449.65835689319,2602
"26",2208.62629783178,1992.73238466571,2437.21223717603,2382
"27",2199.58228088701,1990.52424256134,2424.23741733488,2354
"28",2246.69798441104,2029.98010981029,2478.06321730602,2511
"29",2357.93780557685,2132.23767085786,2592.9544917771,2742
"30",2380.67687389763,2164.17631953034,2616.39582102842,2713
"31",2281.60906412925,2073.8142347132,2511.01327776166,2972
"32",2207.69667964336,1996.14195338021,2434.93997415384,2543
"33",2194.55201883046,1980.79776819444,2425.60203285937,2300
"34",2184.19003740549,1984.92410440998,2421.02931528838,2283
"35",2229.88204020607,2016.11079318868,2470.67691696055,2309
"36",2339.90360203561,2120.38151915214,2571.2870767198,2379
"37",2361.78392245719,2151.91811410932,2602.73536762691,2346
"38",2261.9112755772,2057.06502955139,2495.92987039105,2279
"39",2187.08938924281,1984.18145951025,2428.35967572396,2235
"40",2173.08538342518,1971.31594120367,2410.2899182042,2310
"41",2161.89197157489,1960.80117226819,2394.42578821908,2131
"42",2206.74035062056,2001.40804067615,2440.86892508196,2206
"43",2316.21216921129,2102.66520862384,2560.893032116,2265
"44",2337.98086851983,2128.67044075955,2580.02579167048,2353
"45",2238.10884262791,2035.70298682188,2478.17121946484,2393
"46",2163.21952438983,1962.71497211333,2403.50903262461,2241
"47",2149.22004231585,1946.49260939353,2385.47378363593,2148
"48",2138.06068608522,1941.98120038672,2373.80233750736,2283
"49",2182.90940759143,1979.74961745599,2425.65315156811,2195
"50",2292.63269654714,2084.06962168564,2538.31393891966,2389
"51",2315.02482293534,2113.00575575896,2555.20261458538,2350
"52",2215.80261624,2013.60644441222,2446.85967254207,2356
"53",2141.39957089493,1933.89886947368,2383.36836502038,2242
"54",2127.84916132127,1921.41431613312,2368.4285044302,2247
"55",2117.04884476214,1913.53453379452,2352.58626811365,2299
"56",2162.10192893795,1949.28101450612,2405.44894822656,2313
"57",2272.16623921392,2048.90335779255,2513.01746336379,2292
"58",2295.16777973063,2085.60853597679,2522.01162565182,2342
"59",2196.49299170834,1993.39769224247,2434.02503518184,2284
"60",2122.40586781904,1909.22460370163,2360.38003350694,2169
"61",2109.08731924732,1899.06987172228,2342.16807908359,2177
"62",2098.40226035259,1884.05038396458,2329.12134284177,2258
"63",2143.4144777981,1919.68689195108,2382.75115984529,2231
"64",2253.59442126504,2026.53175844618,2494.60110367285,2373
"65",2277.01705365141,2059.51416023267,2506.60745452127,2358
"66",2178.75600557938,1969.77837469043,2406.82313876633,2253
"67",2104.91876991797,1885.42486008709,2339.63502370715,2203
"68",2091.84323709126,1878.56692066948,2330.53081784092,2192
"69",2081.3680112889,1869.88360341443,2314.95578954578,2301
"70",2126.51864333512,1902.36663799889,2368.74868822162,2292
"71",2237.07477787249,2006.64033211541,2477.72320828415,2438
"72",2261.25216034293,2034.70196575288,2486.73943138327,2374
"73",2163.79983540496,1947.68406634223,2395.55677523892,2303
"74",2090.65650071454,1867.8213049207,2325.77846335882,2104
"75",2078.30205822321,1862.54334960425,2312.55644724747,2200
"76",2068.52931698723,1849.01758407866,2301.47169291725,2317
"77",2114.30614380807,1887.69881708168,2353.18672579998,2313
"78",2225.70165251215,1994.57337128196,2466.05705260077,2467
"79",2251.0589174635,2036.57090529893,2479.00114914502,2559
"80",2154.78678425985,1937.37465554029,2385.19063733417,2414
