"","f.mean","f.lower","f.upper","val_ts"
"1",2287.1267216169,2128.87447487415,2543.30651551778,2295
"2",2312.90624110666,2137.94502474942,2573.74043271032,2205
"3",2213.1700375611,2037.62774475634,2487.82421217028,2094
"4",2139.65967169683,1959.99722163371,2397.94207252555,2077
"5",2133.08866591399,1944.23657658907,2393.61524229474,1936
"6",2131.57545401185,1958.26835205998,2391.39227122825,2161
"7",2184.3823786269,2015.9226996254,2446.44911671215,2039
"8",2301.44913261249,2132.5737890463,2567.80136154359,2252
"9",2329.05272044649,2146.4099144834,2588.50846564251,2149
"10",2230.69531467552,2050.11299785144,2496.82262045733,2129
"11",2157.90737623813,1965.67960458926,2418.79408716859,2090
"12",2151.64217088919,1942.06763314867,2412.98861703054,2082
"13",2149.98032391953,1952.07612544555,2415.14919981545,2141
"14",2202.0931145236,2016.65990335733,2463.37496412948,2058
"15",2318.3270369412,2130.94595345277,2588.05397772226,2287
"16",2345.18399875605,2152.09090847761,2615.3168593753,2105
"17",2245.79350184492,2062.14498861842,2509.40092412266,2200
"18",2171.55181070116,1979.85096438048,2438.21929604612,2231
"19",2163.70744095236,1953.48043718275,2433.64168435681,2103
"20",2160.35754286794,1957.73165326498,2436.93412877191,2027
"21",2210.61181827561,2022.15305576003,2494.51236884938,2162
"22",2325.24532347002,2128.51077997188,2612.52970548084,2394
"23",2351.00525072265,2152.07838817787,2630.61749808016,2363
"24",2250.6381677937,2068.21977891953,2533.53960126619,2340
"25",2175.37653805514,1992.38309544799,2460.02149286456,2152
"26",2166.75290790223,1969.71667772747,2459.10379136244,1986
"27",2162.82887151769,1973.31169968067,2459.07689500786,2063
"28",2212.59860608594,2033.03001506421,2509.52763028424,2113
"29",2327.22204472798,2133.11887628533,2634.5878576878,2274
"30",2353.62865130529,2152.34237239158,2661.42683234906,2066
"31",2254.0968653375,2068.20137315377,2551.40403116252,2143
"32",2179.63431466707,1995.95884225195,2473.89590728458,2069
"33",2171.99595210398,1978.92248362338,2476.98371776746,2027
"34",2169.12989684254,1987.33832979275,2484.75240491134,2081
"35",2219.85302715734,2048.33304591635,2532.93913015558,2108
"36",2335.65606401725,2145.37091552852,2652.33205441839,2255
"37",2363.60642546861,2158.87570176296,2669.98653201298,2243
"38",2265.46954653011,2069.03503050148,2564.94487637338,2133
"39",2191.99443806713,1993.56980286426,2494.42993325607,2151
"40",2185.13542504746,1977.28833096915,2489.49297382854,2136
"41",2182.73779137621,1989.92616287707,2492.86347189259,2105
"42",2233.44035567077,2055.98186158764,2543.07298870312,2156
"43",2349.08128141118,2155.98307027601,2671.11935709243,2306
"44",2376.89827579369,2168.74627161013,2692.12326622225,2423
"45",2278.20788378548,2074.44192914491,2575.19674512065,2290
"46",2203.57142949935,1992.48532979692,2503.0840702806,2237
"47",2195.21196184927,1970.75875557418,2507.5322512881,2175
"48",2190.93803214098,1981.56464898623,2504.14498906022,2143
"49",2239.29982452001,2049.7770331812,2549.52718763133,2243
"50",2352.57238598661,2154.37367928485,2677.86283099307,2464
"51",2378.24256493572,2171.5987267064,2697.17047307379,2428
"52",2277.23718651275,2078.82496213074,2585.20438874564,2287
"53",2199.9854759663,1994.01528106344,2516.70490434547,2178
"54",2189.04595261499,1966.20437368028,2507.64976321391,2227
"55",2182.22411322001,1970.56268768007,2496.5690065943,2201
"56",2228.00161613603,2034.71459134903,2558.33935028457,2174
"57",2339.10460239141,2139.27905915132,2684.37782744994,2371
"58",2363.26857877915,2160.29517831601,2697.36839486673,2379
"59",2260.99523708326,2072.69836736931,2583.19627663838,2174
"60",2182.55465165241,1990.53951349762,2513.57768818598,2121
"61",2170.79570483647,1962.56626685035,2510.11782031611,2120
"62",2163.45768187522,1962.64738061225,2500.64333794102,2175
"63",2208.87675110111,2020.38964015681,2550.54725161982,2145
"64",2320.17459251044,2119.47666859362,2673.25806274163,2322
"65",2345.24270305154,2138.66539855485,2697.76258613649,2348
"66",2244.08135720445,2053.45706349346,2583.76985152517,2213
"67",2166.73415334019,1975.73730513504,2504.50039885421,2180
"68",2156.26912873246,1951.76734943651,2500.23897933427,2095
"69",2150.27474924089,1954.88100130411,2492.40943247464,2224
"70",2196.90028172971,2010.58555502432,2544.90521091009,2246
"71",2309.62046481284,2104.44474790308,2670.09839517561,2465
"72",2336.44079531059,2117.96641873052,2686.05564317416,2482
"73",2236.82573151634,2029.37680237295,2567.31676202244,2235
"74",2160.5902917167,1952.54863662071,2498.99328086451,2103
"75",2151.02025380712,1931.90628742095,2498.0208520065,2163
"76",2145.58132328903,1939.99087765602,2479.09844437412,2193
"77",2192.25805891192,2000.31734538531,2529.43502915072,2292
"78",2304.91818088517,2095.0935174088,2660.67922848493,2290
"79",2331.74268856613,2105.9245846879,2678.40372101668,2378
"80",2231.74426092419,2012.26859177849,2560.50836863981,2308
"81",2154.58528123431,1931.12650359535,2487.15112372341,2248
"82",2143.84702225262,1909.01352303684,2480.96486444489,2160
"83",2136.95095429712,1919.28953765368,2471.31955438905,2190
"84",2181.82249246443,1984.57468397917,2527.24527745046,2212
"85",2292.80114782434,2084.75967755472,2648.05562980692,2289
"86",2318.30995344314,2099.77269345168,2662.12216893179,2481
"87",2216.9662280346,2006.52167649359,2553.09136130808,2137
"88",2138.32807773842,1921.04191644488,2482.15642985086,2103
"89",2126.30121018816,1894.06594162095,2473.64651456059,2146
"90",2118.27862641671,1901.1676318286,2461.39067741707,2038
"91",2162.09833407464,1967.12902147115,2513.3512226804,2274
"92",2272.5560402743,2071.54309527377,2640.83280414464,2320
"93",2298.28225613317,2092.96591693524,2662.82853943909,2261
"94",2197.44567617775,2004.23002926031,2544.86785757517,2234
"95",2119.43356573996,1921.99360983504,2467.53930603871,2193
"96",2108.41380321729,1893.07550853334,2468.71713444064,2182
"97",2101.67319898008,1895.93433774387,2460.87326380038,2265
"98",2146.90189742677,1957.52071946009,2507.52125589943,2197
"99",2259.25916776148,2060.58083088603,2632.73573936445,2451
"100",2287.50743343646,2084.9688980432,2654.4489423462,2357
"101",2189.29535118005,1993.0606303854,2539.96995666379,2213
"102",2113.76961152457,1921.44217844637,2470.08328566314,2232
"103",2105.29668006488,1898.74537620469,2464.87587257984,2217
"104",2101.02138303037,1902.93587887183,2448.3858929713,2220
"105",2148.4263837361,1960.42062024309,2503.60671067152,2326
"106",2263.02114053187,2060.79868997564,2635.75440704938,2439
"107",2293.69343485103,2082.20256487493,2650.77862290571,2363
"108",2197.55607705081,1987.82246904229,2533.35508944657,2363
"109",2123.53327724692,1915.63478736343,2465.71030227062,2320
"110",2116.22042596236,1892.95048144375,2462.05884307114,2313
"111",2112.63796076581,1898.54333247328,2449.57269997155,2223
"112",2160.11844116106,1957.66317065994,2501.435950141,2198
"113",2274.58642647556,2063.26323516369,2623.81315424155,2371
"114",2305.10964542891,2087.94672899333,2645.78702065791,2437
"115",2208.34869497954,1987.80321469462,2537.31402351495,2343
"116",2133.09515063687,1914.3988116123,2461.58471327977,2277
"117",2124.26527963002,1891.28241494801,2452.06728851546,2240
"118",2118.8394964211,1896.3632105321,2443.50445280623,2268
"119",2164.09622268583,1956.17709291028,2496.90475222247,2348
"120",2276.45026443301,2062.85565806883,2620.03841451107,2497
"121",2305.22402693776,2089.25023439748,2640.29579704025,2316
"122",2206.6829168909,1989.87670985067,2523.98071234667,2308
"123",2129.51529912639,1915.22483863116,2450.42403142198,2285
"124",2118.97920670505,1891.58842907516,2450.73852411058,2291
"125",2112.02356653311,1894.20101922699,2435.24209416453,2330
"126",2155.83442903982,1953.68256861335,2478.59873937244,2353
"127",2267.27480637561,2060.69787788087,2606.9746918815,2533
"128",2295.87240384766,2087.86551068209,2630.83079972799,2492
"129",2197.41838780494,1983.04281111783,2511.82982408237,2365
"130",2120.417438931,1914.30516424598,2435.94426741859,2328
"131",2110.36968882087,1890.2851666564,2430.81051257376,2298
"132",2104.09347574763,1887.8223526872,2414.81078688431,2304
"133",2148.59862032652,1934.18217983351,2466.13600697565,2401
"134",2261.10736134924,2051.53976879708,2590.82337201546,2550
"135",2291.24323882834,2074.92982002783,2602.65154464966,2561
"136",2194.28111172689,1970.23563058637,2487.35489636163,2319
"137",2118.49124410422,1899.19712743148,2418.08057895124,2269
"138",2109.57527760431,1884.02884764173,2407.87155897373,2294
"139",2104.21382607779,1872.52450352636,2387.60393753371,2279
"140",2149.23752852225,1914.97644744092,2436.04855353768,2409
"141",2262.23049201405,2027.02998185985,2559.72221269235,2686
"142",2292.96664477567,2056.3982862368,2577.68259775727,2579
"143",2196.21865457582,1951.09579408773,2471.70022114842,2501
"144",2120.06874352309,1876.04855398629,2397.16441074558,2602
"145",2110.49030615055,1861.94554093915,2375.95662842449,2382
"146",2104.06455166951,1851.02112643422,2366.15547793728,2354
"147",2147.50848010278,1883.01822575848,2410.47387497042,2511
"148",2258.8503988625,1994.44147665038,2519.27889146769,2742
"149",2288.07721397001,2032.72422481559,2543.23949317982,2713
"150",2189.52508762974,1926.27697920594,2445.87792170146,2972
"151",2111.15363101205,1841.1192960079,2372.2456313999,2543
"152",2099.27826339309,1825.36609052961,2359.79065443615,2300
"153",2090.44229166362,1814.16450524672,2350.69437861957,2283
